update_date,tests_pos,deaths,total_tests,tests_neg,new_tests
04-19-2020,30357,1290,143318,112961,5914
04-18-2020,29160,1259,137404,108244,7241
04-17-2020,27575,1134,130163,102588,7574
04-16-2020,25733,1072,122589,96856,5660
04-15-2020,24593,948,116929,92336,6313
04-14-2020,23247,868,110616,87369,4848
04-13-2020,22025,794,105768,83743,5033
04-12-2020,20852,720,100735,79883,8586
04-11-2020,19180,677,92149,72969,4622
04-10-2020,17887,596,87527,69640,6670
04-09-2020,16422,528,80857,64435,5791
04-08-2020,15078,462,75066,59988,6334
04-07-2020,13549,380,68732,55183,5790
04-06-2020,12262,307,62942,50680,3959
04-05-2020,11256,274,58983,47727,5402
04-04-2020,10357,243,53581,43224,5533
04-03-2020,8904,210,48048,39144,4392
04-02-2020,7695,157,43656,35961,3272
04-01-2020,6980,141,40384,33404,5159
03-31-2020,5994,99,35225,29231,4779
03-30-2020,5057,73,30446,25389,2684
03-29-2020,4596,65,27762,23166,2271
03-28-2020,3491,47,25491,22000,3949
03-27-2020,3026,34,21542,18516,4911
03-26-2020,2538,26,16631,14093,2422
03-25-2020,1865,19,14209,12344,2740
03-24-2020,1535,16,11469,9934,1613
03-23-2020,1273,12,9856,8583,1536
03-22-2020,1049,9,8320,7271,2079
03-21-2020,753,6,6241,5488,1960
03-20-2020,585,5,4281,3696,1134
03-19-2020,422,4,3147,2725,1096
03-18-2020,288,1,2051,1763,552
03-17-2020,159,1,1499,1340,474
03-16-2020,93,N/A,1025,932,512
03-15-2020,64,N/A,513,449,151
03-14-2020,46,N/A,362,316,36
03-13-2020,32,N/A,326,294,35
03-12-2020,25,N/A,291,266,28
03-11-2020,19,N/A,263,244,0
03-10-2020,19,N/A,263,244,65
03-09-2020,7,N/A,198,191,1
03-08-2020,6,N/A,197,191,0
03-07-2020,6,N/A,197,191,12
03-06-2020,5,N/A,185,180,15
03-05-2020,5,N/A,170,165,42
03-04-2020,4,N/A,128,124,N/A
